,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",CAMBIEMOS,64.6,35.4,7132,3908,79.22,14171,11226,1.19,0.01,0.45,134,1,51
1,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",CAMBIEMOS,55.72,44.28,4221,3354,84.22,9147,7704,1.6,0.01,0.06,123,1,5
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE PARA LA VICTORIA,39.72,60.28,133647,202868,83.77,412578,345606,1.37,0.05,1.21,4738,159,4194
3,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",CAMBIEMOS,56.24,43.76,11050,8598,84.05,23840,20038,1.53,0.02,0.39,306,5,79
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE PARA LA VICTORIA,47.87,52.13,104775,114096,82.52,272641,224976,1.61,0.04,1.06,3617,96,2392
5,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",CAMBIEMOS,56.68,43.32,7639,5838,81.24,17022,13829,1.53,0.01,1,212,2,138
6,BUENOS AIRES_AZUL,"Azul, Buenos Aires",CAMBIEMOS,57.09,42.91,24608,18493,80.3,55060,44214,1.02,0.04,1.46,452,17,644
7,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",CAMBIEMOS,64.83,35.17,117692,63842,80.37,233442,187615,1.57,0.07,1.6,2948,129,3004
8,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",CAMBIEMOS,66.28,33.72,20068,10208,81.9,37704,30881,1.01,0.04,0.91,312,13,280
9,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",FRENTE PARA LA VICTORIA,48.22,51.78,10535,11312,82.12,27119,22271,1.03,0.04,0.83,230,10,184
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE PARA LA VICTORIA,41.31,58.69,82728,117545,85.46,240112,205194,1.55,0.06,0.79,3178,118,1625
11,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",CAMBIEMOS,50.67,49.33,30688,29874,84.55,73621,62246,1.79,0.08,0.84,1113,48,523
12,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",CAMBIEMOS,59.16,40.84,13684,9445,81.38,28974,23580,0.98,0.05,0.88,231,12,208
13,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",CAMBIEMOS,56.75,43.25,15903,12121,82.24,35039,28816,1.19,0.06,1.51,342,16,434
14,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",CAMBIEMOS,56.76,43.24,10062,7664,84.28,21480,18103,0.92,0.03,1.14,166,5,206
15,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",CAMBIEMOS,53.53,46.47,32071,27843,84.02,73015,61345,1.14,0.04,1.15,700,26,705
16,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",CAMBIEMOS,59.08,40.92,5729,3968,82.85,11909,9867,1.14,0.01,0.58,112,1,57
17,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",CAMBIEMOS,61.87,38.13,9145,5636,80.88,18618,15058,1.6,0.01,0.23,241,2,34
18,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",CAMBIEMOS,61.91,38.09,4957,3050,83.53,9806,8191,1.62,0.01,0.61,133,1,50
19,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",CAMBIEMOS,52.68,47.32,5311,4770,82.29,12405,10208,1.13,0.01,0.11,115,1,11
20,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",CAMBIEMOS,54.42,45.58,3295,2760,84.48,7294,6162,0.78,0.06,0.89,48,4,55
21,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE PARA LA VICTORIA,46.69,53.31,15058,17194,83.61,39377,32922,1,0.02,1.02,328,6,336
22,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",CAMBIEMOS,55.53,44.47,17931,14357,82.74,39875,32991,1.18,0.04,0.92,388,13,302
23,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",CAMBIEMOS,65.88,34.12,16173,8375,82.86,30390,25181,2.19,0.02,0.31,551,4,78
24,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",CAMBIEMOS,51.45,48.55,23359,22045,83.63,55589,46491,1.43,0.03,0.87,666,16,405
25,BUENOS AIRES_COLON,"Colon, Buenos Aires",FRENTE PARA LA VICTORIA,46.34,53.66,7698,8914,83.24,20338,16930,1.26,0.03,0.58,214,5,99
26,BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",CAMBIEMOS,62.27,37.73,6767,4101,81.87,13521,11069,0.92,0,0.89,102,0,99
27,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",CAMBIEMOS,58.21,41.79,8988,6452,79.05,19951,15771,1.46,0.01,0.62,231,2,98
28,BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",CAMBIEMOS,72.01,27.99,26658,10362,78.79,47843,37697,0.87,0.06,0.86,329,23,325
29,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",CAMBIEMOS,59.89,40.11,15627,10468,81.5,32897,26811,1.04,0.04,1.58,280,12,424
30,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",CAMBIEMOS,51.04,48.96,5746,5512,80.8,14143,11428,0.76,0,0.73,87,0,83
31,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",CAMBIEMOS,64.14,35.86,11659,6518,80.27,23244,18659,1.51,0.01,1.07,281,1,200
32,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE PARA LA VICTORIA,44.19,55.81,17977,22700,82.58,50655,41831,1.67,0.07,1.01,700,31,423
33,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE PARA LA VICTORIA,47.71,52.29,62421,68412,82.88,161612,133942,1.35,0.07,0.9,1813,95,1201
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE PARA LA VICTORIA,42.5,57.5,72495,98094,84.52,206851,174826,1.21,0.06,1.15,2121,108,2008
35,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",CAMBIEMOS,54.72,45.28,10809,8944,83.19,24269,20189,0.94,0.08,1.13,190,17,229
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE PARA LA VICTORIA,40.54,59.46,38571,56577,85.16,114177,97231,1.16,0.04,0.94,1131,42,910
37,BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",CAMBIEMOS,58.61,41.39,3703,2615,84.91,7521,6386,0.56,0,0.5,36,0,32
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE PARA LA VICTORIA,30.98,69.02,71740,159816,83.31,283696,236349,1.26,0.04,0.73,2978,87,1728
39,BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",CAMBIEMOS,57.97,42.03,14976,10859,79.26,33397,26472,1.33,0.04,1.04,351,11,275
40,BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",CAMBIEMOS,62.26,37.74,4103,2487,81.15,8244,6690,1.39,0,0.1,93,0,7
41,BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",CAMBIEMOS,62.91,37.09,7344,4330,83.49,14165,11826,0.99,0.01,0.29,117,1,34
42,BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",CAMBIEMOS,61.13,38.87,7654,4867,83.6,15226,12729,1.02,0.02,0.6,130,2,76
43,BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",CAMBIEMOS,62.73,37.27,1244,739,82.34,2457,2023,0.94,0,1.04,19,0,21
44,BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",CAMBIEMOS,59.1,40.9,4379,3030,80.97,9360,7579,0.63,0.03,1.58,48,2,120
45,BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",CAMBIEMOS,63.65,36.35,1854,1059,81.04,3660,2966,0.84,0.03,0.91,25,1,27
46,BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",CAMBIEMOS,57.53,42.47,7538,5564,78.97,16849,13305,1.02,0,0.5,136,0,67
47,BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",CAMBIEMOS,53.76,46.24,4278,3679,86.53,9348,8089,1.43,0.04,0.16,116,3,13
48,BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",CAMBIEMOS,54.29,45.71,4304,3624,84.94,9509,8077,1.34,0.01,0.5,108,1,40
49,BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",CAMBIEMOS,56.63,43.37,226078,173170,77.3,531707,411034,1.3,0.08,1.49,5331,345,6110
50,BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",FRENTE PARA LA VICTORIA,45.09,54.91,23839,29033,82.36,65553,53988,0.95,0.03,1.08,514,17,585
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",CAMBIEMOS,50.46,49.54,127174,124868,81.98,316181,259200,1.55,0.08,1.13,4010,213,2935
52,BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",CAMBIEMOS,56.82,43.18,6939,5274,82.25,15147,12459,1.27,0.03,0.67,158,4,84
53,BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",CAMBIEMOS,68.6,31.4,12927,5917,79.39,24181,19197,1.03,0.03,0.78,197,6,150
54,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",CAMBIEMOS,50.96,49.04,4136,3980,79.9,10361,8278,1,0.02,0.93,83,2,77
55,BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",CAMBIEMOS,55.42,44.58,4379,3523,82.44,9706,8002,0.86,0.04,0.35,69,3,28
56,BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",CAMBIEMOS,53.89,46.11,3250,2781,78.03,7830,6110,0.7,0.02,0.57,43,1,35
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE PARA LA VICTORIA,46.81,53.19,54324,61732,83.26,143144,119186,1.28,0.1,1.25,1523,114,1493
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE PARA LA VICTORIA,49.76,50.24,55833,56381,84.29,136958,115441,1.93,0.08,0.78,2232,91,904
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",FRENTE PARA LA VICTORIA,33.56,66.44,54325,107560,83.02,199130,165308,0.89,0.05,1.13,1473,83,1867
60,BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",CAMBIEMOS,52.28,47.72,7018,6406,81.12,16951,13750,1.02,0.03,1.32,140,4,182
61,BUENOS AIRES_JUNIN,"Junin, Buenos Aires",CAMBIEMOS,58.68,41.32,35014,24657,79.85,76521,61100,1.33,0.02,0.99,811,13,605
62,BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",CAMBIEMOS,56.29,43.71,27152,21087,79.18,62350,49366,1.09,0.08,1.12,536,38,553
63,BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",CAMBIEMOS,58.02,41.98,236351,170994,82.3,512116,421467,1.98,0.07,1.3,8356,305,5461
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE PARA LA VICTORIA,48.34,51.66,144916,154863,82.9,371080,307618,1.64,0.07,0.84,5051,204,2584
65,BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",FRENTE PARA LA VICTORIA,49.38,50.62,3637,3729,81.86,9135,7478,0.74,0.03,0.74,55,2,55
66,BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",CAMBIEMOS,58.41,41.59,9654,6875,82.39,20492,16883,1.24,0.02,0.84,209,3,142
67,BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",CAMBIEMOS,52.12,47.88,5406,4967,85.67,12312,10548,1.16,0,0.5,122,0,53
68,BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",CAMBIEMOS,53.5,46.5,6309,5484,82.11,14585,11976,0.89,0.01,0.63,106,1,76
69,BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",CAMBIEMOS,57.44,42.56,2257,1672,85.15,4687,3991,0.98,0.05,0.53,39,2,21
70,BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",CAMBIEMOS,64.1,35.9,18250,10221,81.25,35661,28974,0.94,0.07,0.73,273,19,211
71,BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",CAMBIEMOS,62.42,37.58,7027,4230,80.93,14167,11465,0.6,0.03,1.18,69,4,135
72,BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",CAMBIEMOS,59.86,40.14,14405,9659,83.87,29308,24582,1.53,0.09,0.49,375,23,120
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE PARA LA VICTORIA,41.63,58.37,158266,221906,82.89,470723,390186,1.49,0.05,1.03,5804,201,4009
74,BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",CAMBIEMOS,59.77,40.23,39957,26898,81.64,83849,68452,1.09,0.06,1.18,746,42,809
75,BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",CAMBIEMOS,63.73,36.27,7200,4097,81.57,14137,11532,1.64,0.01,0.39,189,1,45
76,BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",CAMBIEMOS,61.29,38.71,4524,2857,79.51,9477,7535,0.78,0.04,1.22,59,3,92
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE PARA LA VICTORIA,38.71,61.29,78211,123852,84.67,244277,206835,1.2,0.08,1.03,2480,171,2121
78,BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",CAMBIEMOS,56.9,43.1,9599,7270,81.7,21070,17214,1.16,0.02,0.82,199,4,142
79,BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",FRENTE PARA LA VICTORIA,40.32,59.68,12966,19193,82.16,40075,32927,1.42,0.02,0.89,468,8,292
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",FRENTE PARA LA VICTORIA,35.57,64.43,274154,496499,84.02,938162,788229,1.41,0.05,0.77,11097,395,6084
81,BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",CAMBIEMOS,57.28,42.72,24402,18199,83.05,52507,43609,1.08,0.06,1.18,470,24,514
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE PARA LA VICTORIA,35.14,64.86,105812,195323,82.9,371705,308141,1.19,0.06,1.03,3659,174,3173
83,BUENOS AIRES_MONTE,"Monte, Buenos Aires",CAMBIEMOS,61.81,38.19,8706,5378,81.79,17531,14338,1.12,0.06,0.59,160,9,85
84,BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",CAMBIEMOS,53.09,46.91,2990,2642,75.06,7651,5743,1.25,0,0.68,72,0,39
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE PARA LA VICTORIA,35.8,64.2,92263,165471,84.27,312947,263711,1.24,0.07,0.95,3272,194,2511
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",CAMBIEMOS,54.73,45.27,115964,95934,82.57,264286,218232,1.55,0.05,1.3,3373,120,2841
87,BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",CAMBIEMOS,54.79,45.21,6479,5346,85.55,14040,12011,0.75,0.04,0.76,90,5,91
88,BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",CAMBIEMOS,65.73,34.27,40398,21058,78.65,80067,62971,1.24,0.02,1.14,781,15,719
89,BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",CAMBIEMOS,64.04,35.96,20618,11579,81.48,40216,32767,1.03,0.01,0.7,338,4,228
90,BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",CAMBIEMOS,55.67,44.33,39997,31850,80.83,91398,73880,1.31,0.06,1.38,967,46,1020
91,BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",CAMBIEMOS,51.3,48.7,9900,9399,77.94,25235,19669,0.59,0.02,1.27,117,3,250
92,BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",CAMBIEMOS,53.73,46.27,14079,12126,81.5,32887,26804,0.98,0.01,1.25,263,2,334
93,BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",CAMBIEMOS,69.23,30.77,2783,1237,79.99,5127,4101,1.56,0,0.41,64,0,17
94,BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",CAMBIEMOS,63.92,36.08,43742,24686,80.59,87164,70243,1.33,0.04,1.21,937,27,851
95,BUENOS AIRES_PILA,"Pila, Buenos Aires",CAMBIEMOS,55.4,44.6,1395,1123,84.86,3011,2555,0.86,0.04,0.55,22,1,14
96,BUENOS AIRES_PILAR,"Pilar, Buenos Aires",FRENTE PARA LA VICTORIA,47.52,52.48,80238,88611,83.11,207211,172208,0.81,0.08,1.07,1393,130,1836
97,BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",CAMBIEMOS,62.06,37.94,10607,6484,76.82,22799,17514,0.92,0.02,1.47,161,4,258
98,BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",FRENTE PARA LA VICTORIA,33.75,66.25,15725,30871,84.74,56140,47574,0.86,0.03,1.17,407,16,555
99,BUENOS AIRES_PUAN,"Puan, Buenos Aires",CAMBIEMOS,73.54,26.46,8197,2950,79.11,14394,11387,1.14,0.04,0.93,130,4,106
100,BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",CAMBIEMOS,54.34,45.66,3936,3307,82.83,8877,7353,0.67,0.14,0.69,49,10,51
101,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",FRENTE PARA LA VICTORIA,44.94,55.06,159223,195085,83.6,433849,362707,1.39,0.08,0.85,5039,276,3084
102,BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",CAMBIEMOS,50.1,49.9,11162,11116,84.1,26934,22652,1.34,0.01,0.3,303,3,68
103,BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",CAMBIEMOS,54.12,45.88,5920,5019,84.3,13267,11184,1.37,0.04,0.79,153,4,88
104,BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",CAMBIEMOS,67.38,32.62,6946,3362,80.77,13065,10552,1.97,0.01,0.33,208,1,35
105,BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",CAMBIEMOS,64.23,35.77,10201,5680,82.6,19664,16243,1.1,0.01,1.13,178,1,183
106,BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",CAMBIEMOS,61.36,38.64,4975,3133,82.69,9968,8243,0.84,0.04,0.76,69,3,63
107,BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",CAMBIEMOS,63.1,36.9,8597,5028,78.24,17844,13961,0.77,0.03,1.6,108,4,224
108,BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",CAMBIEMOS,64.76,35.24,13537,7365,80.91,26486,21430,1.32,0.04,1.11,282,9,237
109,BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",CAMBIEMOS,60.77,39.23,3500,2259,79.79,7312,5834,0.75,0.05,0.48,44,3,28
110,BUENOS AIRES_SALTO,"Salto, Buenos Aires",CAMBIEMOS,56.17,43.83,11988,9353,80.33,27129,21794,1.55,0.05,0.48,338,11,104
111,BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",CAMBIEMOS,57.52,42.48,8394,6200,83.01,18001,14942,2.14,0.02,0.17,320,3,25
112,BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",CAMBIEMOS,54.94,45.06,8978,7362,86.2,19269,16609,0.81,0.02,0.79,135,3,131
113,BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",CAMBIEMOS,66.51,33.49,3721,1874,79.85,7115,5681,1.11,0,0.4,63,0,23
114,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",CAMBIEMOS,53.2,46.8,53610,47160,82.41,125333,103291,1.33,0.06,1.05,1372,61,1088
115,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",CAMBIEMOS,68.91,31.09,145982,65874,82.13,264880,217543,1.38,0.06,1.17,3009,139,2539
116,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",FRENTE PARA LA VICTORIA,47.62,52.38,82653,90913,82.72,214968,177822,1.04,0.08,1.27,1855,136,2265
117,BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",CAMBIEMOS,50.92,49.08,49295,47506,83.48,119164,99483,1.75,0.04,0.9,1744,43,895
118,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",CAMBIEMOS,61.09,38.91,22901,14584,80.55,47538,38292,1.05,0.03,1.03,401,10,396
119,BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",FRENTE PARA LA VICTORIA,48.21,51.79,18618,20004,83.09,47565,39520,1.17,0.04,1.06,463,16,419
120,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",CAMBIEMOS,55.98,44.02,4174,3282,84.1,9007,7575,1.06,0,0.51,80,0,39
121,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",CAMBIEMOS,57.08,42.92,45665,34338,81.07,101475,82268,1.37,0.04,1.33,1131,36,1098
122,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",CAMBIEMOS,56.05,43.95,3703,2904,82.16,8149,6695,0.66,0.03,0.63,44,2,42
123,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",CAMBIEMOS,51.39,48.61,115993,109739,83.14,280016,232796,1.34,0.07,1.62,3123,171,3770
124,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",CAMBIEMOS,60.92,39.08,884,567,85.12,1734,1476,0.34,0.14,1.22,5,2,18
125,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",CAMBIEMOS,65.78,34.22,5617,2922,80.66,10835,8740,1.11,0.03,1.16,97,3,101
126,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",CAMBIEMOS,59.43,40.57,16885,11528,78.83,36833,29037,1.31,0.01,0.83,380,3,241
127,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",CAMBIEMOS,52.78,47.22,20562,18395,79.1,50366,39839,1.17,0.02,1.02,468,8,406
