,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
128,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",CAMBIEMOS,52.37,47.63,115328,104871,82.72,274161,226775,1.68,0.09,1.12,3819,215,2542
129,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",FRENTE PARA LA VICTORIA,47.39,52.61,2465,2737,82.75,6372,5273,0.64,0.02,0.68,34,1,36
130,BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",CAMBIEMOS,59.32,40.68,14329,9825,81.71,30147,24633,1.31,0.03,0.6,322,8,149
131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",CAMBIEMOS,69.65,30.35,124990,54466,81.08,228854,185559,1.98,0.06,1.25,3668,120,2315
132,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",CAMBIEMOS,52.55,47.45,10496,9479,76.42,26816,20493,1.17,0.01,1.35,240,2,276
133,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",CAMBIEMOS,65.84,34.16,11784,6115,80.32,22808,18320,0.94,0.02,1.34,173,3,245
134,BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",FRENTE PARA LA VICTORIA,45.9,54.1,33548,39539,82.99,90230,74881,1.56,0.03,0.81,1170,21,603
135,CATAMARCA_AMBATO,"Ambato, Catamarca",FRENTE PARA LA VICTORIA,41.13,58.87,1503,2151,78.71,4692,3693,0.84,0,0.22,31,0,8
,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0,0,0,0,0,0,0,0,0,0,0,0,0
,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0,0,0,0,0,0,0,0,0,0,0,0,0
,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",,0,0,0,0,0,0,0,0,0,0,0,0,0
,SALTA_RIVADAVIA,"Rivadavia, Salta",,0,0,0,0,0,0,0,0,0,0,0,0,0
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",FRENTE PARA LA VICTORIA,39.1,60.9,768,1196,73.64,2693,1983,0.5,0.1,0.35,10,2,7
137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",FRENTE PARA LA VICTORIA,45.91,54.09,4877,5747,74.16,14626,10846,0.99,0.02,1.04,107,2,113
138,CATAMARCA_BELEN,"Belen, Catamarca",FRENTE PARA LA VICTORIA,46.2,53.8,7322,8528,76.44,21134,16154,1.09,0.06,0.74,176,9,119
139,CATAMARCA_CAPAYAN,"Capayan, Catamarca",FRENTE PARA LA VICTORIA,40.91,59.09,3878,5602,76.2,12620,9617,0.81,0,0.61,78,0,59
140,CATAMARCA_CAPITAL,"Capital, Catamarca",CAMBIEMOS,52.03,47.97,47027,43351,75.39,122290,92190,0.73,0.03,1.2,674,31,1107
141,CATAMARCA_EL ALTO,"El Alto, Catamarca",FRENTE PARA LA VICTORIA,36.15,63.85,989,1747,77.33,3587,2774,0.72,0,0.65,20,0,18
142,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",FRENTE PARA LA VICTORIA,43.69,56.31,3438,4431,80.44,9926,7984,0.64,0,0.8,51,0,64
143,CATAMARCA_LA PAZ,"La Paz, Catamarca",FRENTE PARA LA VICTORIA,40.11,59.89,3823,5708,73.6,13104,9645,0.56,0.05,0.57,54,5,55
144,CATAMARCA_PACLIN,"Paclin, Catamarca",CAMBIEMOS,50.72,49.28,1488,1446,81.28,3633,2953,0.47,0.03,0.14,14,1,4
145,CATAMARCA_POMAN,"Poman, Catamarca",FRENTE PARA LA VICTORIA,40.28,59.72,2678,3970,79.83,8408,6712,0.4,0.03,0.52,27,2,35
146,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",FRENTE PARA LA VICTORIA,44.51,55.49,6415,7997,76.07,19266,14656,0.59,0.04,1.03,87,6,151
147,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",FRENTE PARA LA VICTORIA,30.66,69.34,2381,5384,79.49,9895,7866,0.61,0.01,0.66,48,1,52
148,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",FRENTE PARA LA VICTORIA,43.65,56.35,5087,6568,71.66,16782,12026,2.19,0.03,0.86,263,4,104
149,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",FRENTE PARA LA VICTORIA,48.72,51.28,8115,8542,76.63,22095,16932,0.59,0.04,0.99,100,7,168
150,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE PARA LA VICTORIA,37.77,62.23,5443,8967,78.53,18531,14552,0.66,0,0.32,96,0,46
151,CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE PARA LA VICTORIA,42.23,57.77,1917,2622,81.53,5608,4572,0.5,0.09,0.13,23,4,6
152,CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE PARA LA VICTORIA,34.13,65.87,6150,11868,77.48,23477,18189,0.67,0,0.27,121,0,50
153,CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE PARA LA VICTORIA,41.5,58.5,7477,10541,80.32,22652,18195,0.43,0.02,0.52,79,4,94
154,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE PARA LA VICTORIA,31.57,68.43,6400,13872,76,26867,20419,0.46,0.02,0.24,93,4,50
155,CHACO_BERMEJO,"Bermejo, Chaco",FRENTE PARA LA VICTORIA,31.91,68.09,5355,11428,78.35,21744,17037,1.17,0.02,0.3,200,3,51
156,CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE PARA LA VICTORIA,44.94,55.06,8845,10835,80,24869,19894,0.52,0.05,0.51,103,9,102
157,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",FRENTE PARA LA VICTORIA,47.88,52.12,27839,30303,78.73,75004,59051,0.71,0.03,0.8,421,15,473
158,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",FRENTE PARA LA VICTORIA,39.31,60.69,2808,4335,76.58,9393,7193,0.51,0.06,0.13,37,4,9
159,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",FRENTE PARA LA VICTORIA,27.99,72.01,1944,5002,74.51,9376,6986,0.47,0,0.1,33,0,7
160,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",FRENTE PARA LA VICTORIA,35.63,64.37,3356,6062,83.94,11352,9529,0.75,0.03,0.39,71,3,37
161,CHACO_GENERAL GUEMES,"General Guemes, Chaco",FRENTE PARA LA VICTORIA,28.54,71.46,12253,30683,73.36,59160,43399,0.71,0.01,0.35,306,4,153
162,CHACO_INDEPENDENCIA,"Independencia, Chaco",FRENTE PARA LA VICTORIA,29.22,70.78,3867,9368,77.34,17235,13329,0.43,0,0.28,57,0,37
163,CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",FRENTE PARA LA VICTORIA,35.99,64.01,13239,23543,79.04,47070,37204,0.55,0,0.58,205,1,216
164,CHACO_LIBERTAD,"Libertad, Chaco",FRENTE PARA LA VICTORIA,35.85,64.15,3046,5450,86.2,9992,8613,0.95,0,0.41,82,0,35
165,CHACO_MAIPU,"Maipu, Chaco",FRENTE PARA LA VICTORIA,40.49,59.51,5854,8605,73.45,19875,14598,0.84,0,0.11,123,0,16
166,CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",FRENTE PARA LA VICTORIA,40.81,59.19,14493,21018,79.33,45436,36045,1,0.17,0.31,360,62,112
167,CHACO_O'HIGGINS,"O'Higgins, Chaco",FRENTE PARA LA VICTORIA,27.87,72.13,3580,9267,77.62,16702,12964,0.62,0,0.29,80,0,37
168,CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",FRENTE PARA LA VICTORIA,36.6,63.4,2613,4526,76.8,9419,7234,0.79,0.01,0.51,57,1,37
169,CHACO_1° DE MAYO,"Primero De Mayo, Chaco",FRENTE PARA LA VICTORIA,39.35,60.65,3281,5057,86.32,9776,8439,0.82,0,0.38,69,0,32
170,CHACO_QUITILIPI,"Quitilipi, Chaco",FRENTE PARA LA VICTORIA,42.15,57.85,8341,11448,74.59,26773,19969,0.67,0,0.24,133,0,47
171,CHACO_SAN FERNANDO,"San Fernando, Chaco",FRENTE PARA LA VICTORIA,46.33,53.67,120939,140104,82.91,320552,265778,0.68,0.06,1.04,1805,162,2768
172,CHACO_SAN LORENZO,"San Lorenzo, Chaco",FRENTE PARA LA VICTORIA,28.31,71.69,2704,6848,77.98,12377,9651,0.6,0.01,0.41,58,1,40
173,CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",FRENTE PARA LA VICTORIA,31.86,68.14,3618,7737,81.46,14064,11456,0.62,0,0.26,71,0,30
174,CHACO_TAPENAGA,"Tapenaga, Chaco",FRENTE PARA LA VICTORIA,30.73,69.27,695,1567,77.31,2962,2290,0.87,0,0.35,20,0,8
175,CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE PARA LA VICTORIA,42.11,57.89,20486,28166,78.84,63761,50268,1.01,0.07,2.13,506,37,1073
176,CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE PARA LA VICTORIA,30.09,69.91,4758,11054,77.04,21282,16396,1.01,0.01,2.54,166,1,417
177,CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE PARA LA VICTORIA,40.21,59.79,46433,69032,79.57,149442,118911,0.89,0.06,1.95,1062,70,2314
178,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE PARA LA VICTORIA,31.43,68.57,298,650,71.63,1343,962,0.42,0,1.04,4,0,10
179,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE PARA LA VICTORIA,45.96,54.04,12158,14297,74.72,36917,27585,1.56,0.02,2.52,431,5,694
180,CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE PARA LA VICTORIA,46.16,53.84,3237,3776,79.42,9078,7210,1.01,0.06,1.66,73,4,120
181,CHUBUT_GASTRE,"Gastre, Chubut",FRENTE PARA LA VICTORIA,23.46,76.54,156,509,55.56,1222,679,1.03,0,1.03,7,0,7
182,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE PARA LA VICTORIA,25.17,74.83,449,1335,73.09,2508,1833,0.76,0,1.91,14,0,35
183,CHUBUT_MARTIRES,"Martires, Chubut",FRENTE PARA LA VICTORIA,36.43,63.57,145,253,69.42,605,420,1.67,0,3.57,7,0,15
184,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",FRENTE PARA LA VICTORIA,39.59,60.41,426,650,71.88,1540,1107,0.99,0,1.81,11,0,20
185,CHUBUT_RAWSON,"Rawson, Chubut",FRENTE PARA LA VICTORIA,43.42,56.58,35513,46278,79.59,106056,84406,0.93,0.04,2.12,787,36,1792
186,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",FRENTE PARA LA VICTORIA,33.58,66.42,1172,2318,71.5,4975,3557,0.51,0.06,1.32,18,2,47
187,CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE PARA LA VICTORIA,41.78,58.22,2859,3984,75.63,9258,7002,0.66,0.11,1.5,46,8,105
188,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE PARA LA VICTORIA,33.84,66.16,1138,2225,71.1,4841,3442,0.84,0.09,1.37,29,3,47
189,CHUBUT_TELSEN,"Telsen, Chubut",FRENTE PARA LA VICTORIA,31.82,68.18,287,615,61.41,1508,926,0.76,0,1.84,7,0,17
190,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,63.26,36.74,79446,46149,72.61,178945,129935,1.81,0.07,1.46,2356,91,1893
191,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,63.19,36.81,73653,42908,81.57,149400,121873,2.36,0.08,1.92,2871,99,2342
192,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,66.02,33.98,89121,45869,81.83,172158,140881,2.27,0.13,1.78,3200,180,2511
193,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,67.01,32.99,98838,48664,82.32,186591,153593,2.3,0.08,1.59,3535,120,2436
194,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,75.92,24.08,126657,40180,79.32,218171,173058,2.22,0.05,1.33,3843,84,2294
195,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,74.75,25.25,118182,39912,77.74,210581,163697,2.11,0.04,1.27,3451,71,2081
196,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.47,39.53,76110,49748,79.31,166288,131884,2.57,0.05,1.95,3394,61,2571
197,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,79.54,20.46,85537,21998,76,145810,110820,1.78,0.02,1.16,1976,25,1284
198,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.46,39.54,71524,46782,75.38,163619,123339,2.15,0.05,1.88,2655,57,2321
199,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,55.15,44.85,74656,60715,78.68,178099,140126,1.67,0.05,1.67,2336,73,2346
200,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,60.61,39.39,73234,47595,79.5,158836,126267,2.4,0.06,1.85,3034,70,2334
201,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,66.69,33.31,83555,41730,81.32,161249,131135,2.63,0.03,1.8,3450,41,2359
202,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,61.33,38.67,81217,51208,79.5,173815,138189,2.24,0.09,1.85,3092,119,2553
203,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,51.1,48.9,54592,52247,80.16,137456,110178,1.46,0.07,1.5,1613,75,1651
204,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",CAMBIEMOS,59.59,40.41,68777,46649,81.69,146809,119929,2.01,0.06,1.68,2414,72,2017
205,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",CAMBIEMOS,67.38,32.62,25293,12246,80.53,47907,38580,1.04,0.05,1.61,400,21,620
206,CORDOBA_CAPITAL,"Capital, Cordoba",CAMBIEMOS,74.89,25.11,621106,208261,79.39,1074495,853021,1.07,0.07,1.64,9122,555,13977
207,CORDOBA_COLON,"Colon, Cordoba",CAMBIEMOS,75.69,24.31,121686,39092,80.11,205752,164829,0.89,0.04,1.53,1469,68,2514
208,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE PARA LA VICTORIA,49.84,50.16,16937,17046,73.8,46817,34552,0.67,0.04,0.93,233,13,323
209,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",CAMBIEMOS,67.63,32.37,14341,6865,76.35,28262,21579,0.93,0,0.79,201,1,171
210,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",CAMBIEMOS,61.37,38.63,53323,33559,80.67,110300,88974,1.01,0.04,1.3,895,39,1158
211,CORDOBA_ISCHILIN,"Ischilin, Cordoba",CAMBIEMOS,61.52,38.48,12538,7841,77.71,26771,20803,0.89,0.11,1.04,185,23,216
212,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",CAMBIEMOS,68.86,31.14,27727,12539,80.74,51116,41272,1.12,0.02,1.3,464,7,535
213,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",CAMBIEMOS,70.95,29.05,48595,19900,80.7,86827,70069,1.55,0,0.69,1088,3,483
214,CORDOBA_MINAS,"Minas, Cordoba",FRENTE PARA LA VICTORIA,47.14,52.86,1590,1783,69.05,4992,3447,0.81,0,1.33,28,0,46
215,CORDOBA_POCHO,"Pocho, Cordoba",CAMBIEMOS,53.1,46.9,1593,1407,66.05,4616,3049,0.92,0,0.69,28,0,21
216,CORDOBA_PUNILLA,"Punilla, Cordoba",CAMBIEMOS,72.63,27.37,87352,32923,78.16,158483,123868,0.98,0.03,1.89,1217,34,2342
217,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",CAMBIEMOS,70.11,29.89,113382,48336,79.81,208598,166480,1.12,0.04,1.7,1872,59,2831
218,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",CAMBIEMOS,71.69,28.31,22337,8820,81.2,39035,31698,0.83,0,0.88,262,1,278
219,CORDOBA_RIO SECO,"Rio Seco, Cordoba",CAMBIEMOS,56.08,43.92,5152,4035,76.12,12288,9354,1.02,0.11,0.66,95,10,62
220,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",CAMBIEMOS,73.33,26.67,51707,18805,82.33,87665,72174,0.92,0,1.39,661,1,1000
221,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",CAMBIEMOS,71.41,28.59,16465,6591,78.05,30223,23589,1.11,0,1.14,263,1,269
222,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",CAMBIEMOS,61.94,38.06,15220,9353,79.36,31726,25178,0.98,0.02,1.4,248,4,353
223,CORDOBA_SAN JAVIER,"San Javier, Cordoba",CAMBIEMOS,56.77,43.23,20150,15341,79.41,45671,36269,0.98,0.02,1.14,355,8,415
224,CORDOBA_SAN JUSTO,"San Justo, Cordoba",CAMBIEMOS,71.3,28.7,96535,38861,79.45,174350,138514,1.02,0.02,1.22,1409,26,1683
225,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",CAMBIEMOS,74.03,25.97,49946,17518,80.82,85874,69407,0.95,0.04,1.8,660,31,1252
226,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",CAMBIEMOS,55.56,44.44,1608,1286,75.34,3913,2948,1.15,0,0.68,34,0,20
227,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",CAMBIEMOS,71.97,28.03,54846,21357,80.95,96330,77981,1.05,0.01,1.22,816,11,951
228,CORDOBA_TOTORAL,"Totoral, Cordoba",CAMBIEMOS,70.84,29.16,9185,3781,82.09,16023,13154,0.67,0.01,0.75,88,1,99
229,CORDOBA_TULUMBA,"Tulumba, Cordoba",CAMBIEMOS,56.99,43.01,4969,3750,74.27,11936,8865,0.83,0.01,0.8,74,1,71
230,CORDOBA_UNION,"Union, Cordoba",CAMBIEMOS,67.54,32.46,46435,22315,78.07,90040,70291,1.26,0.02,0.91,887,12,642
231,CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE PARA LA VICTORIA,36.78,63.22,8821,15161,81.46,29769,24249,0.45,0.02,0.64,108,5,154
232,CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE PARA LA VICTORIA,37.6,62.4,685,1137,80.87,2269,1835,0.38,0,0.33,7,0,6
233,CORRIENTES_CAPITAL,"Capital, Corrientes",CAMBIEMOS,53.56,46.44,123698,107262,83.03,283565,235443,0.55,0.06,1.29,1290,153,3040
234,CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE PARA LA VICTORIA,35.14,64.86,4308,7953,76.76,16182,12421,0.52,0,0.77,64,0,96
235,CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE PARA LA VICTORIA,42.7,57.3,11997,16099,78.37,36353,28491,0.47,0.03,0.89,134,8,253
236,CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE PARA LA VICTORIA,42.86,57.14,4212,5615,78.54,12722,9992,0.56,0.01,1.08,56,1,108
237,CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE PARA LA VICTORIA,39.8,60.2,8089,12235,74.79,27502,20569,0.53,0,0.66,109,1,135
238,CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE PARA LA VICTORIA,39.32,60.68,1954,3016,73.61,6837,5033,0.52,0,0.74,26,0,37
239,CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE PARA LA VICTORIA,41.14,58.86,4216,6033,77.65,13318,10341,0.37,0.01,0.51,38,1,53
240,CORRIENTES_GOYA,"Goya, Corrientes",FRENTE PARA LA VICTORIA,34.79,65.21,19880,37270,79.88,72623,58009,0.58,0.04,0.86,336,23,500
241,CORRIENTES_ITATI,"Itati, Corrientes",FRENTE PARA LA VICTORIA,41.8,58.2,2598,3617,74.28,8449,6276,0.37,0,0.61,23,0,38
242,CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",FRENTE PARA LA VICTORIA,41.84,58.16,8507,11826,78.69,26285,20683,0.43,0.12,1.15,89,24,237
243,CORRIENTES_LAVALLE,"Lavalle, Corrientes",FRENTE PARA LA VICTORIA,30.41,69.59,5727,13106,81.24,23434,19038,0.34,0,0.74,65,0,140
244,CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",FRENTE PARA LA VICTORIA,35.65,64.35,2352,4245,78.85,8445,6659,0.41,0,0.53,27,0,35
245,CORRIENTES_MERCEDES,"Mercedes, Corrientes",FRENTE PARA LA VICTORIA,43.37,56.63,11537,15063,79.21,33976,26911,0.37,0,0.78,99,1,211
246,CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",FRENTE PARA LA VICTORIA,45.43,54.57,10288,12356,78.36,29236,22909,0.69,0.01,0.46,158,2,105
247,CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",FRENTE PARA LA VICTORIA,39.34,60.66,12188,18795,77,40790,31407,0.49,0.02,0.84,154,5,265
248,CORRIENTES_SALADAS,"Saladas, Corrientes",FRENTE PARA LA VICTORIA,37.46,62.54,5235,8740,80.84,17512,14157,0.51,0.01,0.76,72,2,108
249,CORRIENTES_SAN COSME,"San Cosme, Corrientes",CAMBIEMOS,55.44,44.56,6176,4964,80.66,13989,11283,0.41,0.03,0.83,46,3,94
250,CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",FRENTE PARA LA VICTORIA,37.35,62.65,4791,8037,83.62,15502,12962,0.44,0,0.59,57,0,77
251,CORRIENTES_SAN MARTIN,"San Martin, Corrientes",FRENTE PARA LA VICTORIA,42.07,57.93,3256,4483,74.38,10542,7841,0.78,0.01,0.51,61,1,40
252,CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",FRENTE PARA LA VICTORIA,28.99,71.01,1883,4613,78.52,8356,6561,0.53,0,0.46,35,0,30
253,CORRIENTES_SAN ROQUE,"San Roque, Corrientes",FRENTE PARA LA VICTORIA,29.37,70.63,3617,8697,77.17,16121,12441,0.33,0.01,0.68,41,1,85
